name,platform,year_of_release
Super Breakout,2600,1976
Combat,2600,1977
Circus Atari,2600,1977
Indy 500,2600,1977
Air-Sea Battle,2600,1977
Space Invaders,2600,1978
Hangman,2600,1978
Breakaway IV,2600,1978
Home Run,2600,1978
Adventure,2600,1978
Circus Atari,2600,1978
Maze Craze: A Game of Cops 'n Robbers,2600,1978
Super Breakout,2600,1978
Flag Capture,2600,1978
Slot Machine,2600,1979
Asteroids,2600,1980
Missile Command,2600,1980
Adventure,2600,1980
Kaboom!,2600,1980
Defender,2600,1980
Air-Sea Battle,2600,1980
Boxing,2600,1980
Fishing Derby,2600,1980
Ice Hockey,2600,1980
Maze Craze: A Game of Cops n Robbers,2600,1980
Freeway,2600,1980
Dragster,2600,1980
Bridge,2600,1980
Checkers,2600,1980
Karate,2600,1980
Pitfall!,2600,1981
Frogger,2600,1981
Demon Attack,2600,1981
E.T.: The Extra Terrestrial,2600,1981
Ms. Pac-Man,2600,1981
River Raid,2600,1981
Donkey Kong,2600,1981
Centipede,2600,1981
Atlantis,2600,1981
Megamania,2600,1981
Cosmic Ark,2600,1981
Donkey Kong Junior,2600,1981
Spider-Man,2600,1981
Custers Revenge,2600,1981
Alien,2600,1981
Air Raid,2600,1981
Berzerk,2600,1981
King Kong,2600,1981
Adventures of Tron,2600,1981
BurgerTime,2600,1981
Smurf: Rescue In Gargamels Castle,2600,1981
Raiders of the Lost Ark,2600,1981
Grand Prix,2600,1981
Phoenix,2600,1981
Jawbreaker,2600,1981
Barnstorming,2600,1981
Mouse Trap,2600,1981
Laser Blast,2600,1981
Airlock,2600,1981
Dragonfire,2600,1981
Frogs And Flies,2600,1981
Fantastic Voyage,2600,1981
Carnival,2600,1981
Fireball,2600,1981
Astroblast,2600,1981
Fast Food,2600,1981
RealSports Football,2600,1981
Front Line,2600,1981
Dark Cavern,2600,1981
Deadly Duck,2600,1981
Reactor,2600,1981
Crazy Climber,2600,1981
RealSports Baseball,2600,1981
International Soccer,2600,1981
Armor Ambush,2600,1981
RealSports Volleyball,2600,1981
Asteroids,2600,1981
Missile Command,2600,1981
Kaboom!,2600,1981
Defender,2600,1981
Ice Hockey,2600,1981
Freeway,2600,1981
Pac-Man,2600,1982
Dig Dug,2600,1982
Mario Bros.,2600,1982
Pole Position,2600,1982
Moon Patrol,2600,1982
Jungle Hunt,2600,1982
Joust,2600,1982
Enduro,2600,1982
Yars Revenge,2600,1982
Galaxian,2600,1982
Kangaroo,2600,1982
Keystone Kapers,2600,1982
X-Man,2600,1982
Battlezone,2600,1982
Halloween,2600,1982
Q*bert,2600,1982
The Activision Decathlon,2600,1982
Action Force,2600,1982
Popeye,2600,1982
Chopper Command,2600,1982
RealSports Tennis,2600,1982
Gauntlet,2600,1982
Karate,2600,1982
Congo Bongo,2600,1982
Bump n Jump,2600,1982
Gravitar,2600,1982
Aliens Return,2600,1982
Bank Heist,2600,1982
